Codigo_muestra;Codigo_individuo;Especie;Familia;Type;Pairs;Fuente;Localidad;Coord_X;Coord_Y;Fecha_recoleccion;Muestra_general;Organo;Muestreo;Individuo;Num_Org;Leaf_area;Petiole_area;Leaf_area_with_petiole;Leaf_thickness;Leaf_fresh_weight;Petiole_fresh_weight;Leaf_fresh_weight_with_petiole;Leaf_dry_weight;Petiole_dry_weight;Leaf_dry_weight_with_petiole;SLA_without_petiole;SLA_with_petiole;1/SLA_without_petiole;1/SLA_with_petiole;Leaf_dry_weight_per_fresh_weight_without_petiole;Leaf_dry_weight_per_fresh_weight_with_petiole;Diametro_flor;Eje_max_flor;Eje_min_flor;Eje_3_flor;Volumen_flor;Alt_max_rep;Alt_max_veg;Eje_max_planta;Eje_min_planta;Volumen_planta_veg;Volumen_planta_rep;Volumen_inflorescencia
ASPCYN_MOR.4.H2.;ASPCYN_MOR.4.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;4;2;0.083500;;0.083500;0.210000;0.001550;;0.001550;0.000980;;0.000980;85.204082;85.204082;0.011737;0.011737;0.632258;0.632258;;;;;;;;;;;;
ASPCYN_MOR.4.H3.;ASPCYN_MOR.4.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;4;3;0.067000;;0.067000;0.160000;0.001165;;0.001165;0.000740;;0.000740;90.540541;90.540541;0.011045;0.011045;0.635193;0.635193;;;;;;;;;;;;
ASPCYN_MOR.4.H4.;ASPCYN_MOR.4.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;4;4;0.102500;;0.102500;0.210000;0.001925;;0.001925;0.001045;;0.001045;98.086124;98.086124;0.010195;0.010195;0.542857;0.542857;;;;;;;;;;;;
ASPCYN_MOR.4.H5.;ASPCYN_MOR.4.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;4;5;0.053000;;0.053000;0.200000;0.001095;;0.001095;0.000685;;0.000685;77.372263;77.372263;0.012925;0.012925;0.625571;0.625571;;;;;;;;;;;;
ASPCYN_MOR.5.H1.;ASPCYN_MOR.5.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;5;1;0.057000;;0.057000;0.240000;0.001200;;0.001200;0.000720;;0.000720;79.166667;79.166667;0.012632;0.012632;0.600000;0.600000;;;;;;;;;;;;
ASPCYN_MOR.5.H2.;ASPCYN_MOR.5.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;5;2;0.106500;;0.106500;0.270000;0.003665;;0.003665;0.001825;;0.001825;58.356164;58.356164;0.017136;0.017136;0.497954;0.497954;;;;;;;;;;;;
ASPCYN_MOR.5.H3.;ASPCYN_MOR.5.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;5;3;0.115500;;0.115500;0.310000;0.003165;;0.003165;0.001555;;0.001555;74.276527;74.276527;0.013463;0.013463;0.491311;0.491311;;;;;;;;;;;;
ASPCYN_MOR.5.H4.;ASPCYN_MOR.5.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;5;4;0.072500;;0.072500;0.310000;0.001460;;0.001460;0.000875;;0.000875;82.857143;82.857143;0.012069;0.012069;0.599315;0.599315;;;;;;;;;;;;
ASPCYN_MOR.5.H5.;ASPCYN_MOR.5.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;5;5;0.051500;;0.051500;0.290000;0.000930;;0.000930;0.000625;;0.000625;82.400000;82.400000;0.012136;0.012136;0.672043;0.672043;;;;;;;;;;;;
ASPCYN_MOR.6.H1.;ASPCYN_MOR.6.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;6;1;0.083000;;0.083000;0.260000;0.001635;;0.001635;0.000755;;0.000755;109.933775;109.933775;0.009096;0.009096;0.461774;0.461774;;;;;;;;;;;;
